sample_id,source,text,true_label,pred_label,target_class,target_class_name,position,token,signed_score,abs_score,normalized_abs_score,ig_steps,baseline
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,0,욕,0.195606529712677,0.195606529712677,0.23972816033552402,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,1,을,0.008708514273166656,0.008708514273166656,0.01067283443466047,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,2,바가지,0.2405959665775299,0.2405959665775299,0.2948655575890034,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,3,고,-0.02705082669854164,0.02705082669854164,0.033152497156009764,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,4,퍼먹어,-0.11371004581451416,0.11371004581451416,0.13935884520226718,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,5,모,0.29633429646492004,0.29633429646492004,0.3631764023430403,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,6,자르다,-0.02443069964647293,0.02443069964647293,0.029941365917393124,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,7,호수,-0.815951406955719,0.815951406955719,1.0,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,8,로,0.093874491751194,0.093874491751194,0.1150491205125019,32,all_pad
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,9,먹다,0.16035030782222748,0.16035030782222748,0.1965194329653623,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,0,빡빡이,0.09636536985635757,0.09636536985635757,0.16020964197403756,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,1,빼다,0.16701599955558777,0.16701599955558777,0.27766793748233026,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,2,연기,-0.03837970644235611,0.03837970644235611,0.06380714397053576,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,3,ㄷㄷ,-0.10326884686946869,0.10326884686946869,0.17168683115823455,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,4,코끼리,0.6014954447746277,0.6014954447746277,1.0,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,5,연기,-0.4021124243736267,0.4021124243736267,0.6685211465305325,32,all_pad
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,6,쩌러,-0.4216790497303009,0.4216790497303009,0.7010511108497229,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,0,게,0.23366530239582062,0.23366530239582062,0.20587329327886025,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,1,뭐,0.2212958186864853,0.2212958186864853,0.19497502844754047,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,2,야,0.41690462827682495,0.41690462827682495,0.36731824505615673,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,3,?,0.048462241888046265,0.048462241888046265,0.04269817227834708,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,4,질질,0.11181189119815826,0.11181189119815826,0.09851305278397283,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,5,끄다,0.3740995526313782,0.3740995526313782,0.3296043791042023,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,6,황,-0.044074222445487976,0.044074222445487976,0.038832061202596274,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,7,급하다,0.11869867891073227,0.11869867891073227,0.10458073014968752,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,8,종영,-0.721062958240509,0.721062958240509,0.6353001680279684,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,9,듯,0.02798488736152649,0.02798488736152649,0.024656381859365275,32,all_pad
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,10,삼류,1.134995698928833,1.134995698928833,1.0,32,all_pad
