sample_id,source,text,true_label,pred_label,target_class,target_class_name,position,token,signed_score,abs_score,normalized_abs_score
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,0,욕,0.29253268241882324,0.29253268241882324,0.2268873609842891
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,1,을,0.0036044269800186157,0.0036044269800186157,0.0027955813982731004
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,2,바가지,0.35761967301368713,0.35761967301368713,0.27736861117614015
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,3,고,-0.07352478802204132,0.07352478802204132,0.05702557739297857
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,4,퍼먹어,-0.14208903908729553,0.14208903908729553,0.11020377906750974
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,5,모,0.4347898066043854,0.4347898066043854,0.3372215062866112
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,6,자르다,-0.05792378634214401,0.05792378634214401,0.04492549315420088
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,7,호수,-1.289330005645752,1.289330005645752,1.0
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,8,로,0.18882326781749725,0.18882326781749725,0.1464506891103697
test_22264,test,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,0,0,negative,9,먹다,0.1900424063205719,0.1900424063205719,0.14739624881792035
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,0,빡빡이,0.18178752064704895,0.18178752064704895,0.17539168695821397
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,1,빼다,0.25435957312583923,0.25435957312583923,0.24541043557731335
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,2,연기,-0.14722925424575806,0.14722925424575806,0.142049284680546
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,3,ㄷㄷ,-0.22946149110794067,0.22946149110794067,0.22138834323786272
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,4,코끼리,1.0364660024642944,1.0364660024642944,1.0
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,5,연기,-0.46149468421936035,0.46149468421936035,0.4452579082402257
test_15543,test,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,0,0,negative,6,쩌러,-0.854812741279602,0.854812741279602,0.8247378488510044
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,0,게,0.2770604193210602,0.2770604193210602,0.19002583414604154
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,1,뭐,0.2354610562324524,0.2354610562324524,0.16149431856461013
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,2,야,0.5016149282455444,0.5016149282455444,0.34403974192181125
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,3,?,0.02918640524148941,0.02918640524148941,0.020017911671863422
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,4,질질,0.1083296686410904,0.1083296686410904,0.07429944593577217
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,5,끄다,0.3701580762863159,0.3701580762863159,0.25387818795831346
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,6,황,-0.043875791132450104,0.043875791132450104,0.030092836173396937
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,7,급하다,0.05628575384616852,0.05628575384616852,0.038604385828069535
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,8,종영,-1.085677981376648,1.085677981376648,0.7446277044214596
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,9,듯,0.1973278820514679,0.1973278820514679,0.1353401380066835
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,10,삼류,1.4580144882202148,1.4580144882202148,1.0
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,11,드라마,-0.07991813868284225,0.07991813868284225,0.05481299351174322
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,12,같다,-0.3311985731124878,0.3311985731124878,0.22715725789308097
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,13,전개,-0.14226879179477692,0.14226879179477692,0.09757707687009555
test_30048,test,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,0,0,negative,14,?,0.1236388087272644,0.1236388087272644,0.0847994376778719
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,0,엥,0.20781071484088898,0.20781071484088898,0.41735833144544676
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,1,여자,0.4979191720485687,0.4979191720485687,1.0
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,2,자기,0.4177829921245575,0.4177829921245575,0.8390578543213948
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,3,국민,-0.02380398102104664,0.02380398102104664,0.047806917984521226
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,4,죽이다,-0.26983487606048584,0.26983487606048584,0.5419250577364095
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,5,달라,-0.06320880353450775,0.06320880353450775,0.1269459122741756
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,6,고,0.24978134036064148,0.24978134036064148,0.5016503769737891
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,7,외국,-0.03571636974811554,0.03571636974811554,0.07173126031915808
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,8,군인,0.005418233573436737,0.005418233573436737,0.010881753259559614
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,9,불,0.09315916895866394,0.09315916895866394,0.18709697113164558
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,10,여,-0.38756483793258667,0.38756483793258667,0.7783689797242479
test_43365,test,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,0,0,negative,11,들이다,-0.1027095839381218,0.1027095839381218,0.20627762436932867
